ticker,timeframe,signal_date,divergence_type,signal_close,entry_date,entry_price,first_peak_price,second_peak_price,first_peak_rsi,second_peak_rsi
BLK,1d,2024-11-11,Bearish,1053.83997,2024-11-12,1036.34998,1015.75,1053.83997,79.09413675443673,77.51681531448644
BMY,3d,2021-11-29,Bullish,54.95,2021-12-02,56.32,57.26,54.95,21.440126583531466,22.45187631762319
BRO,1d,2023-07-25,Bearish,72.47,2023-07-26,71.65,68.84,72.47,78.07959735042843,75.31780498528714
BWA,1d,2025-09-08,Bearish,44.43,2025-09-09,43.69,43.56,44.43,80.78838461259863,77.8286933738693
C,1d,2024-01-30,Bearish,57.09,2024-01-31,56.17,54.33,57.09,81.86162501965339,77.54767224094886
C,1d,2025-07-25,Bearish,96.07,2025-07-28,95.55,88.72,96.07,84.23769301684308,77.26220761140678
C,1w,2021-06-06,Bearish,79.49,2021-06-13,76.48,75.18,79.49,79.91222166379525,78.04540834950797
CAH,1d,2022-09-01,Bearish,71.32,2022-09-02,70.99,70.14,71.32,91.04792212600144,75.17227687939022
CARR,3d,2021-08-25,Bearish,58.32,2021-08-28,58.029999,57.18,58.32,80.9630984023295,76.04191956760573
CAT,1d,2025-10-29,Bearish,585.48999,2025-10-30,583.15002,540.96002,585.48999,79.44155486600695,78.07933500520204
CB,1d,2024-02-23,Bearish,256.01001,2024-02-26,254.84,249.25,256.01001,86.36416454595647,78.83834400153262
CBOE,1w,2021-08-22,Bearish,129.75999,2021-08-29,125.4,121.77,129.75999,78.3670276630259,75.45928711814605
CBOE,1w,2024-02-25,Bearish,197.14999,2024-03-03,187.020004,180.25999,197.14999,81.68120280413059,76.7326379896637
CBRE,1d,2023-10-25,Bullish,65.76,2023-10-26,66.46,71.17,65.76,20.498022808708455,20.697174044312703
CBRE,3d,2024-08-21,Bearish,117.029999,2024-08-24,116.72,112.0,117.029999,81.40100825288106,77.5464833405895
CCEP,1d,2023-05-16,Bearish,66.69,2023-05-17,66.29,66.0,66.69,88.38530153409445,78.68842927694811
CCL,1d,2023-07-10,Bearish,19.3,2023-07-11,18.9,16.12,19.3,85.36102614113237,77.76331888191275
CDNS,1w,2021-11-21,Bearish,188.12,2021-11-28,178.36,166.87,188.12,77.64323653733481,76.60848506541953
