ticker,timeframe,divergence_type,signal_date,entry_date,entry_price,initial_shares,initial_capital,total_pnl,total_pnl_pct,num_exits,days_in_trade,result
RSG,1w,Bearish,2022-01-02,2022-01-09,133.77,7.4755,1000.0,65.8,6.58,2,38,Win
ZTS,1w,Bearish,2022-01-02,2022-01-09,211.09,4.7373,1000.0,65.33,6.53,2,22,Win
ACN,1w,Bearish,2022-01-02,2022-01-09,370.75,2.6972,1000.0,70.1,7.01,2,17,Win
AVB,1w,Bearish,2022-01-02,2022-01-09,248.87,4.0182,1000.0,0.0,0.0,1,39,Breakeven
ABBV,1d,Bearish,2022-01-12,2022-01-13,133.52,7.4895,1000.0,-50.0,-5.0,1,15,Loss
F,3d,Bearish,2022-01-13,2022-01-16,24.38,41.0172,1000.0,250.72,25.07,3,102,Win
MCK,1d,Bearish,2022-01-14,2022-01-18,252.54,3.9598,1000.0,-50.0,-5.0,1,13,Loss
VRTX,1d,Bearish,2022-01-14,2022-01-18,231.07,4.3277,1000.0,-50.0,-5.0,1,9,Loss
SLB,1d,Bearish,2022-01-26,2022-01-27,38.86,25.7334,1000.0,-50.0,-5.0,1,1,Loss
AFL,1d,Bearish,2022-02-08,2022-02-09,66.04,15.1423,1000.0,72.24,7.22,2,29,Win
AFL,1d,Bearish,2022-02-09,2022-02-10,65.55,15.2555,1000.0,68.93,6.89,2,27,Win
AWK,1d,Bullish,2022-02-16,2022-02-17,148.06,6.754,1000.0,70.32,7.03,2,51,Win
ZBRA,1d,Bullish,2022-02-23,2022-02-24,415.33,2.4077,1000.0,-50.0,-5.0,1,1,Loss
XOM,3d,Bearish,2022-03-05,2022-03-08,85.36,11.7151,1000.0,-50.0,-5.0,1,1,Loss
ECL,3d,Bullish,2022-03-05,2022-03-08,162.48,6.1546,1000.0,77.22,7.72,2,39,Win
PYPL,1d,Bullish,2022-03-07,2022-03-08,94.9,10.5374,1000.0,0.0,0.0,1,5,Breakeven
XOM,1d,Bearish,2022-03-08,2022-03-09,82.79,12.0788,1000.0,0.0,0.0,1,11,Breakeven
EBAY,3d,Bullish,2022-03-11,2022-03-14,54.77,18.2582,1000.0,-50.0,-5.0,1,1,Loss
STLD,1d,Bearish,2022-03-25,2022-03-28,87.17,11.4718,1000.0,0.0,0.0,1,12,Breakeven
ATO,3d,Bearish,2022-04-04,2022-04-07,121.71,8.2163,1000.0,75.39,7.54,2,77,Win
KR,3d,Bearish,2022-04-07,2022-04-10,58.75,17.0213,1000.0,-50.0,-5.0,1,1,Loss
CTVA,3d,Bearish,2022-04-13,2022-04-16,60.95,16.4069,1000.0,79.56,7.96,2,25,Win
AEE,1d,Bearish,2022-04-20,2022-04-21,97.81,10.2239,1000.0,77.52,7.75,2,79,Win
